,longName,open,previousClose,dayLow,dayHigh,regularMarketOpen,regularMarketPreviousClose,regularMarketDayLow,regularMarketDayHigh,Diferencia
25,"Ameresco, Inc.",19.63,19.94,19.03,20.48,19.63,19.94,19.03,20.48,1.9346640213676123
26,"American Electric Power Company, Inc.",82.93,83.32,82.68,84.02,82.93,83.32,82.68,84.02,1.4664794344160939
27,American Woodmark Corporation,96.455,97.5,96.185,98.51,96.455,97.5,96.185,98.51,2.190494039784307
28,Ameris Bancorp,45.9,46.12,45.78,48.18,45.9,46.12,45.78,48.18,1.3098512437921497
29,"AMN Healthcare Services, Inc.",64.69,65.39,64.02,66.37,64.69,65.39,64.02,66.37,2.4862847460117266
30,"Amphastar Pharmaceuticals, Inc.",44.61,44.57,44.01,44.8663,44.61,44.57,44.01,44.8663,1.7874952625380205
31,"The Andersons, Inc.",54.89,54.93,54.3893,56.18,54.89,54.93,54.3893,56.18,1.3432596381919772
32,"ANI Pharmaceuticals, Inc.",67.58,67.87,67.58,68.93,67.58,67.87,67.58,68.93,1.750987840735394
33,"Apellis Pharmaceuticals, Inc.",56.34,56.92,53.19,56.34,56.34,56.92,53.19,56.34,3.044221357865767
34,Appian Corporation,36.6,36.58,36.06,38.44,36.6,36.58,36.06,38.44,1.6600433017896568
35,AppLovin Corporation,68.15,67.64,67.2801,71.045,68.15,67.64,67.2801,71.045,1.4770470683282544
36,Aptiv PLC,78.01,77.92,77.985,79.155,78.01,77.92,77.985,79.155,2.368063251962775
37,"Arcellx, Inc.",72.94,73.04,71.645,73.86,72.94,73.04,71.645,73.86,2.278996101952353
38,Arch Capital Group Ltd.,91.59,91.67,91.36,92.57,91.59,91.67,91.36,92.57,1.5323321527171982
39,Archer-Daniels-Midland Company,61.03,61.03,60.89,61.77,61.03,61.03,60.89,61.77,1.368211909803342
40,"Arcosa, Inc.",82.2,82.1,81.85,83.7,82.2,82.1,81.85,83.7,1.681560036593805
41,Arcturus Therapeutics Holdings Inc.,33.33,33.76,32.57,33.76,33.33,33.76,32.57,33.76,1.677746916005734
42,ARK Innovation ETF,48.44,48.51,48.3,50.475,48.44,48.51,48.3,50.475,1.2843511555962501
43,ARK Next Generation Internet ETF,79.46,79.19,79.11,82.2498,79.46,79.19,79.11,82.2498,1.6165685992938257
44,"Arrowhead Pharmaceuticals, Inc.",27.5,27.77,27.09,28.36,27.5,27.77,27.09,28.36,1.4223991665444355
45,"Arvinas, Inc.",42.43,42.56,41.16,44.21,42.43,42.56,41.16,44.21,1.6600791343116006
46,Ashland Inc.,96.12,95.83,95.3372,97.61,96.12,95.83,95.3372,97.61,1.6624349691483902
47,"Astrana Health, Inc.",39.75,39.97,39.5712,42.14,39.75,39.97,39.5712,42.14,1.4696394200381553
48,Atlas Lithium Corporation,12.9,12.73,12.9,15.18,12.9,12.73,12.9,15.18,2.0659446037805127
49,"AtriCure, Inc.",31.26,31.51,28.66,31.26,31.26,31.51,28.66,31.26,1.5418183699898096
50,"Axonics, Inc.",68.63,68.7,68.55,68.94,68.63,68.7,68.55,68.94,1.8396837588826658
51,"Axos Financial, Inc.",51.15,50.78,50.76,53.81,51.15,50.78,50.76,53.81,1.5739921750758477
52,"Axsome Therapeutics, Inc.",76.69,76.87,75.52,78.61,76.69,76.87,75.52,78.61,3.096984305400622
